Description,Type
PETIT LARCENY,Theft
HARRASSMENT 2,Assault
ASSAULT 3 & RELATED OFFENSES,Assault
CRIMINAL MISCHIEF & RELATED OF,Assault
GRAND LARCENY,Theft
OFF. AGNST PUB ORD SENSBLTY &,Miscellaneous
DANGEROUS DRUGS,Miscellaneous
FELONY ASSAULT,Assault
ROBBERY,Theft
MISCELLANEOUS PENAL LAW,Miscellaneous
BURGLARY,Theft
DANGEROUS WEAPONS,Assault
OFFENSES AGAINST PUBLIC ADMINI,Legal
VEHICLE AND TRAFFIC LAWS,Legal
GRAND LARCENY OF MOTOR VEHICLE,Theft
FORGERY,Fraud
SEX CRIMES,Sexual
INTOXICATED & IMPAIRED DRIVING,Miscellaneous
THEFT-FRAUD,Fraud
CRIMINAL TRESPASS,Disruption
FRAUDS,Fraud
UNAUTHORIZED USE OF A VEHICLE,Disruption
OTHER OFFENSES RELATED TO THEF,Theft
POSSESSION OF STOLEN PROPERTY,Theft
RAPE,Sexual
OFFENSES INVOLVING FRAUD,Fraud
OFFENSES AGAINST THE PERSON,Disruption
ADMINISTRATIVE CODE,Legal
ARSON,Disruption
NYS LAWS-UNCLASSIFIED FELONY,Miscellaneous
THEFT OF SERVICES,Legal
MURDER & NON-NEGL. MANSLAUGHTER,Assault
GAMBLING,Miscellaneous
BURGLAR'S TOOLS,Theft
OTHER STATE LAWS (NON PENAL LA,Legal
FRAUDULENT ACCOSTING,Fraud
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,Miscellaneous
KIDNAPPING & RELATED OFFENSES,Crimes against children
PROSTITUTION & RELATED OFFENSES,Sexual
OFFENSES RELATED TO CHILDREN,Crimes against children
ALCOHOLIC BEVERAGE CONTROL LAW,Miscellaneous
DISORDERLY CONDUCT,Disruption
OFFENSES AGAINST PUBLIC SAFETY,Disruption
JOSTLING,Assault
PETIT LARCENY OF MOTOR VEHICLE,Theft
ENDAN WELFARE INCOMP,Miscellaneous
CHILD ABANDONMENT/NON SUPPORT,Crimes against children
OTHER STATE LAWS,Miscellaneous
NYS LAWS-UNCLASSIFIED VIOLATION,Miscellaneous
"LOITERING/GAMBLING (CARDS, DIC",Disruption
ESCAPE 3,Miscellaneous
KIDNAPPING,Crimes against children
NEW YORK CITY HEALTH CODE,Miscellaneous
OTHER STATE LAWS (NON PENAL LAW),Miscellaneous
UNLAWFUL POSS. WEAP. ON SCHOOL,Crimes against children
DISRUPTION OF A RELIGIOUS SERV,Disruption
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",Assault
ANTICIPATORY OFFENSES,Fraud
HOMICIDE-NEGLIGENT-VEHICLE,Assault
INTOXICATED/IMPAIRED DRIVING,Disruption
LOITERING,Disruption
ADMINISTRATIVE CODES,Legal
